(0, 1109219)
(644, 2317913882)
(391, 1201809925)
(138, 534492505)
(529, 970227919)
(276, 710673668)
(23, 93648712)
(667, 2689001084)
(414, 889386693)
(161, 583770571)
(552, 1191327407)
(299, 761178322)
(46, 151410315)
(690, 2557907750)
(437, 680438081)
(184, 560555698)
(575, 2164374366)
(322, 875411159)
(69, 249396178)
(713, 2560922164)
(460, 644888803)
(207, 653615415)
(598, 1865806695)
(345, 1012432584)
(92, 503133861)
(736, 2656719108)
(483, 682325637)
(230, 838901117)
(621, 2176957992)
(368, 1231078883)
(115, 445712439)
(506, 756689147)
(253, 652529211)
(1, 2953149)
(645, 2119305585)
(392, 1065405852)
(139, 548910753)
(530, 886119337)
(277, 723300941)
(24, 53055834)
(668, 2399372909)
(415, 1429587777)
(162, 677535506)
(553, 996273875)
(300, 744292050)
(47, 202670827)
(691, 2591433883)
(438, 951931284)
(185, 612519793)
(576, 1064617028)
(323, 851324703)
(70, 215958563)
(714, 2832030569)
(461, 724385886)
(208, 704096633)
(599, 2427228139)
(346, 873136262)
(93, 318700737)
(737, 2835530990)
(484, 713384403)
(231, 846704758)
(622, 2023495934)
(369, 1270310056)
(116, 398473004)
(507, 761841708)
(254, 720153478)
(2, 4375057)
(646, 1971228316)
(393, 1182866520)
(140, 500230252)
(531, 815116071)
(278, 810105161)
(25, 46546334)
(669, 2118516888)
(416, 1070535247)
(163, 633942013)
(554, 840402499)
(301, 809734514)
(48, 124591074)
(692, 2383240920)
(439, 1496397236)
(186, 671406244)
(577, 945923303)
(324, 855113006)
(71, 275004656)
(715, 2936443555)
(462, 952404478)
(209, 788952467)
(600, 1199770669)
(347, 870725147)
(94, 289102526)
(738, 2948380435)
(485, 824960253)
(232, 853683059)
(623, 2510991917)
(370, 1281845155)
(117, 434872536)
(508, 756054969)
(255, 735873726)
(256, 817201820)
(3, 5981567)
(647, 2551735688)
(394, 1347736937)
(141, 486498393)
(532, 766817458)
(279, 822042114)
(26, 51086028)
(670, 2138522826)
(417, 1088109188)
(164, 605168363)
(555, 751919479)
(302, 814560643)
(49, 115255986)
(693, 2284432518)
(440, 1174992003)
(187, 689853309)
(578, 914292473)
(325, 880004714)
(72, 145075117)
(716, 2473626127)
(463, 1583109413)
(210, 774517541)
(601, 1024199198)
(348, 972276681)
(95, 379560562)
(739, 2869785407)
(486, 1029851784)
(233, 875874986)
(624, 1306175074)
(371, 1346765360)
(118, 342891401)
(509, 880442132)
(257, 945592061)
(4, 7944635)
(648, 1311958408)
(395, 1316995403)
(142, 411853230)
(533, 918066405)
(280, 873418537)
(27, 51628881)
(671, 2619750692)
(418, 1153997472)
(165, 682644911)
(556, 809385002)
(303, 839068154)
(50, 102135374)
(694, 2070087585)
(441, 1133269317)
(188, 631025541)
(579, 874108942)
(326, 953228751)
(73, 108995716)
(717, 2342760387)
(464, 1192265595)
(211, 807822523)
(602, 869744364)
(349, 962546773)
(96, 192736656)
(740, 2511178586)
(487, 1652854778)
(234, 881370105)
(625, 990791122)
(372, 1472326502)
(119, 478956991)
(510, 1174409905)
(258, 1070180760)
(5, 11208972)
(649, 1024097840)
(396, 1388818473)
(143, 542292077)
(534, 1089065417)
(281, 1039772913)
(28, 48096073)
(672, 1375036343)
(419, 1063168672)
(166, 504606441)
(557, 889129171)
(304, 915333634)
(51, 83558838)
(695, 2861148312)
(442, 1119898691)
(189, 614594791)
(580, 894421006)
(327, 924385097)
(74, 103217670)
(718, 2149387487)
(465, 1149636669)
(212, 693838751)
(603, 825623307)
(350, 989247145)
(97, 174764049)
(741, 2442494958)
(488, 1276696078)
(235, 952013347)
(626, 978848663)
(373, 1267928789)
